Time,RR[mm/h]
10-06-2011 06:45,2.3543835e-05
10-06-2011 07:00,4.708767e-06
10-06-2011 07:15,6.827712e-05
10-06-2011 07:30,2.3543835e-06
10-06-2011 07:45,1.8835068e-05
10-06-2011 08:00,2.3543835e-06
10-06-2011 08:15,1.8835068e-05
10-06-2011 08:30,0.0
10-06-2011 08:45,9.417534e-06
10-06-2011 09:00,2.3543835e-06
10-06-2011 09:15,1.4126301e-05
10-06-2011 09:30,0.0
10-06-2011 09:45,9.417534e-06
10-06-2011 10:00,2.3543835e-06
10-06-2011 10:15,1.4126301e-05
10-06-2011 10:30,0.0
10-06-2011 10:45,7.0631504e-06
10-06-2011 11:00,2.3543835e-06
10-06-2011 11:15,1.4126301e-05
10-06-2011 11:30,0.0
10-06-2011 11:45,7.0631504e-06
10-06-2011 12:00,2.3543835e-06
10-06-2011 12:15,1.4126301e-05
10-06-2011 12:30,0.0
10-06-2011 12:45,7.0631504e-06
10-06-2011 13:00,2.3543835e-06
10-06-2011 13:15,1.4126301e-05
10-06-2011 13:30,0.0
10-06-2011 13:45,7.0631504e-06
10-06-2011 14:00,2.3543835e-06
10-06-2011 14:15,1.4126301e-05
10-06-2011 14:30,0.0
10-06-2011 14:45,7.0631504e-06
10-06-2011 15:00,2.3543835e-06
10-06-2011 15:15,1.4126301e-05
10-06-2011 15:30,0.0
10-06-2011 15:45,7.0631504e-06
10-06-2011 16:00,2.3543835e-06
10-06-2011 16:15,1.4126301e-05
10-06-2011 16:30,0.0
10-06-2011 16:45,7.0631504e-06
10-06-2011 17:00,2.3543835e-06
10-06-2011 17:15,1.4126301e-05
10-06-2011 17:30,0.0
10-06-2011 17:45,7.0631504e-06
10-06-2011 18:00,2.3543835e-06
10-06-2011 18:15,1.4126301e-05
10-06-2011 18:30,0.0
10-06-2011 18:45,7.0631504e-06
10-06-2011 19:00,2.3543835e-06
10-06-2011 19:15,1.4126301e-05
10-06-2011 19:30,0.0
10-06-2011 20:00,7.0631504e-06
10-06-2011 20:15,2.3543835e-06
10-06-2011 20:30,1.4126301e-05
10-06-2011 20:45,0.0
10-06-2011 21:00,7.0631504e-06
10-06-2011 21:15,2.3543835e-06
10-06-2011 21:30,1.4126301e-05
10-06-2011 21:45,0.0
10-06-2011 22:00,7.0631504e-06
10-06-2011 22:15,2.3543835e-06
10-06-2011 22:30,1.4126301e-05
10-06-2011 22:45,0.0
10-06-2011 23:00,7.0631504e-06
10-06-2011 23:15,2.3543835e-06
10-06-2011 23:30,1.4126301e-05
10-06-2011 23:45,0.0
11-06-2011 00:00,7.0631504e-06
11-06-2011 00:15,2.3543835e-06
11-06-2011 00:30,1.4126301e-05
11-06-2011 00:45,0.0
11-06-2011 01:00,7.0631504e-06
11-06-2011 01:15,2.3543835e-06
11-06-2011 01:30,1.4126301e-05
11-06-2011 01:45,0.0
11-06-2011 02:00,7.0631504e-06
11-06-2011 02:15,2.3543835e-06
11-06-2011 02:30,1.4126301e-05
11-06-2011 02:45,0.0
11-06-2011 03:00,7.0631504e-06
11-06-2011 03:15,2.3543835e-06
11-06-2011 03:30,1.4126301e-05
11-06-2011 03:45,0.0
11-06-2011 04:00,7.0631504e-06
11-06-2011 04:15,2.3543835e-06
11-06-2011 04:30,1.4126301e-05
11-06-2011 04:45,0.0
11-06-2011 05:00,7.0631504e-06
11-06-2011 05:15,2.3543835e-06
11-06-2011 05:30,1.4126301e-05
11-06-2011 05:45,0.0
11-06-2011 06:00,7.0631504e-06
11-06-2011 06:15,2.3543835e-06
11-06-2011 06:30,1.4126301e-05
11-06-2011 06:45,0.0
11-06-2011 07:00,7.0631504e-06
11-06-2011 07:15,2.3543835e-06
11-06-2011 07:30,1.4126301e-05
11-06-2011 07:45,0.0
11-06-2011 08:00,7.0631504e-06
05-08-2011 08:15,2.3543835e-06
05-08-2011 08:30,1.4126301e-05
05-08-2011 08:45,0.0
05-08-2011 09:00,7.0631504e-06
05-08-2011 09:15,2.3543835e-06
05-08-2011 09:30,1.4126301e-05
05-08-2011 09:45,0.0
05-08-2011 10:00,7.0631504e-06
05-08-2011 10:15,2.3543835e-06
05-08-2011 10:30,1.4126301e-05
05-08-2011 10:45,0.0
05-08-2011 11:00,7.0631504e-06
05-08-2011 11:15,2.3543835e-06
05-08-2011 11:30,1.4126301e-05
05-08-2011 11:45,0.0
05-08-2011 12:00,7.0631504e-06
05-08-2011 12:15,2.3543835e-06
05-08-2011 12:30,1.1771917e-05
05-08-2011 12:45,0.0
05-08-2011 13:00,9.417534e-06
05-08-2011 13:15,2.3543835e-06
05-08-2011 13:30,1.6480684e-05
05-08-2011 13:45,4.708767e-06
05-08-2011 14:00,0.00040730834
05-08-2011 14:15,0.0002990067
05-08-2011 14:30,0.0007863641
05-08-2011 14:45,7.0631504e-05
