Time,RR[mm/h]
06-08-2011 15:45,2.1189451e-05
06-08-2011 16:00,4.708767e-06
06-08-2011 16:15,6.592274e-05
06-08-2011 16:30,2.3543835e-06
06-08-2011 16:45,1.8835068e-05
06-08-2011 17:00,2.3543835e-06
06-08-2011 17:15,1.8835068e-05
06-08-2011 17:30,0.0
06-08-2011 17:45,9.417534e-06
06-08-2011 18:00,2.3543835e-06
06-08-2011 18:15,1.4126301e-05
06-08-2011 18:30,0.0
06-08-2011 18:45,7.0631504e-06
06-08-2011 19:00,2.3543835e-06
06-08-2011 19:15,1.4126301e-05
06-08-2011 19:30,0.0
06-08-2011 19:45,7.0631504e-06
06-08-2011 20:00,2.3543835e-06
06-08-2011 20:15,1.4126301e-05
06-08-2011 20:30,0.0
06-08-2011 20:45,7.0631504e-06
06-08-2011 21:00,2.3543835e-06
06-08-2011 21:15,1.4126301e-05
06-08-2011 21:30,0.0
06-08-2011 21:45,7.0631504e-06
06-08-2011 22:00,2.3543835e-06
06-08-2011 22:15,1.4126301e-05
06-08-2011 22:30,0.0
06-08-2011 22:45,7.0631504e-06
06-08-2011 23:00,2.3543835e-06
06-08-2011 23:15,1.4126301e-05
06-08-2011 23:30,0.0
06-08-2011 23:45,7.0631504e-06
07-08-2011 00:00,2.3543835e-06
07-08-2011 00:15,1.4126301e-05
07-08-2011 00:30,0.0
07-08-2011 00:45,7.0631504e-06
07-08-2011 01:00,2.3543835e-06
07-08-2011 01:15,1.4126301e-05
07-08-2011 01:30,0.0
07-08-2011 01:45,7.0631504e-06
07-08-2011 02:00,2.3543835e-06
07-08-2011 02:15,1.4126301e-05
07-08-2011 02:30,0.0
07-08-2011 02:45,7.0631504e-06
07-08-2011 03:00,2.3543835e-06
07-08-2011 03:15,1.4126301e-05
07-08-2011 03:30,0.0
07-08-2011 03:45,7.0631504e-06
07-08-2011 04:00,2.3543835e-06
07-08-2011 04:15,1.4126301e-05
07-08-2011 04:30,0.0
07-08-2011 04:45,7.0631504e-06
07-08-2011 05:00,2.3543835e-06
07-08-2011 05:15,1.4126301e-05
07-08-2011 05:30,0.0
07-08-2011 05:45,7.0631504e-06
07-08-2011 06:00,2.3543835e-06
07-08-2011 06:15,1.4126301e-05
07-08-2011 06:30,0.0
07-08-2011 06:45,7.0631504e-06
07-08-2011 07:00,2.3543835e-06
07-08-2011 07:15,1.4126301e-05
07-08-2011 07:30,0.0
07-08-2011 07:45,7.0631504e-06
07-08-2011 08:00,2.3543835e-06
07-08-2011 08:15,1.4126301e-05
07-08-2011 08:30,0.0
07-08-2011 08:45,7.0631504e-06
07-08-2011 09:00,2.3543835e-06
07-08-2011 09:15,1.4126301e-05
07-08-2011 09:30,0.0
07-08-2011 09:45,7.0631504e-06
07-08-2011 10:00,2.3543835e-06
07-08-2011 10:15,1.4126301e-05
07-08-2011 10:30,0.0
07-08-2011 10:45,7.0631504e-06
07-08-2011 11:00,2.3543835e-06
07-08-2011 11:15,1.4126301e-05
07-08-2011 11:30,0.0
07-08-2011 11:45,7.0631504e-06
07-08-2011 12:00,2.3543835e-06
07-08-2011 12:15,1.4126301e-05
07-08-2011 12:30,0.0
07-08-2011 13:00,7.0631504e-06
07-08-2011 13:15,2.3543835e-06
07-08-2011 13:30,1.4126301e-05
07-08-2011 13:45,0.0
07-08-2011 14:00,7.0631504e-06
07-08-2011 14:15,2.3543835e-06
07-08-2011 14:30,1.4126301e-05
07-08-2011 14:45,0.0
07-08-2011 15:00,7.0631504e-06
07-08-2011 15:15,2.3543835e-06
07-08-2011 15:30,1.4126301e-05
07-08-2011 15:45,0.0
07-08-2011 16:00,7.0631504e-06
07-08-2011 16:15,2.3543835e-06
07-08-2011 16:30,1.4126301e-05
07-08-2011 16:45,0.0
07-08-2011 17:00,7.0631504e-06
07-08-2011 17:15,2.3543835e-06
07-08-2011 17:30,1.4126301e-05
07-08-2011 17:45,0.0
07-08-2011 18:00,7.0631504e-06
07-08-2011 18:15,2.3543835e-06
07-08-2011 18:30,1.4126301e-05
07-08-2011 18:45,0.0
07-08-2011 19:00,7.0631504e-06
07-08-2011 19:15,2.3543835e-06
07-08-2011 19:30,1.4126301e-05
07-08-2011 19:45,0.0
07-08-2011 20:00,7.0631504e-06
07-08-2011 20:15,2.3543835e-06
07-08-2011 20:30,1.4126301e-05
07-08-2011 20:45,0.0
07-08-2011 21:00,7.0631504e-06
07-08-2011 21:15,2.3543835e-06
07-08-2011 21:30,1.1771917e-05
07-08-2011 21:45,0.0
07-08-2011 22:00,9.417534e-06
07-08-2011 22:15,2.3543835e-06
07-08-2011 22:30,1.6480684e-05
07-08-2011 22:45,4.708767e-06
07-08-2011 23:00,0.00040966272
07-08-2011 23:45,0.00030136108
08-08-2011 00:00,0.00078871846
08-08-2011 00:15,7.0631504e-05
