Time,PowerTLTMmax[dBm],PowerTLTMmin[dBm],PowerRLTMmax[dBm],PowerRLTMmin[dBm]
09-06-2011 08:15,5,4.8,-61,-66
09-06-2011 08:30,5,4.8,-62,-67
09-06-2011 08:45,5,4.8,-62,-67
09-06-2011 09:00,5,4.8,-62,-66
09-06-2011 09:15,5,4.8,-63,-66
09-06-2011 09:30,5,4.8,-62,-65
09-06-2011 09:45,5,4.8,-61,-66
09-06-2011 10:00,5,4.8,-62,-66
09-06-2011 10:15,5,4.8,-62,-67
09-06-2011 10:30,5,4.8,-60,-67
09-06-2011 10:45,5,4.8,-59,-67
09-06-2011 11:00,5,4.8,-62,-67
09-06-2011 11:15,5,4.8,-62,-67
09-06-2011 11:30,5,4.8,-61,-66
09-06-2011 11:45,5,4.8,-60,-66
09-06-2011 12:00,5,4.8,-61,-66
09-06-2011 12:15,5,4.8,-62,-66
09-06-2011 12:30,5,4.8,-60,-68
09-06-2011 12:45,5,4.8,-62,-67
09-06-2011 13:00,5,4.8,-61,-67
09-06-2011 13:15,5,4.8,-62,-66
09-06-2011 13:30,5,4.8,-61,-67
09-06-2011 13:45,5,4.8,-61,-67
09-06-2011 14:00,5,4.8,-61,-68
09-06-2011 14:15,5,4.8,-61,-67
09-06-2011 14:30,5,4.8,-61,-67
09-06-2011 14:45,5,4.8,-60,-67
09-06-2011 15:00,5,4.8,-61,-67
09-06-2011 15:15,5,4.8,-61,-66
09-06-2011 15:30,5,4.8,-61,-67
09-06-2011 15:45,5,4.8,-61,-68
09-06-2011 16:00,5,4.8,-61,-66
09-06-2011 16:15,5,4.8,-62,-65
09-06-2011 16:30,5,4.8,-62,-69
09-06-2011 16:45,5,4.8,-62,-67
09-06-2011 17:00,5,4.8,-62,-66
09-06-2011 17:15,5,4.8,-62,-66
09-06-2011 17:30,5,4.8,-62,-65
09-06-2011 17:45,5,4.8,-62,-66
09-06-2011 18:00,5,4.8,-62,-65
09-06-2011 18:15,5,4.8,-62,-64
09-06-2011 18:30,5,4.8,-62,-64
09-06-2011 18:45,5,4.8,-62,-65
09-06-2011 19:00,5,4.8,-62,-65
09-06-2011 19:15,5,4.8,-62,-64
09-06-2011 19:30,5,4.8,-62,-64
09-06-2011 19:45,5,4.8,-63,-65
09-06-2011 20:00,5,4.8,-63,-64
09-06-2011 20:15,5,4.8,-63,-64
09-06-2011 20:30,5,4.8,-63,-64
09-06-2011 20:45,5,4.8,-63,-64
09-06-2011 21:00,5,4.8,-63,-64
