Time,PowerTLTMmax[dBm],PowerTLTMmin[dBm],PowerRLTMmax[dBm],PowerRLTMmin[dBm]
09-06-2011 08:15,5.0,4.8,-47.0,-50.5
09-06-2011 09:15,5.0,4.8,-47.0,-50.0
09-06-2011 10:15,5.0,4.8,-47.0,-50.0
09-06-2011 11:15,5.0,4.8,-47.0,-50.0
09-06-2011 12:15,5.0,4.8,-47.0,-50.25
09-06-2011 13:15,5.0,4.8,-47.0,-50.0
09-06-2011 14:15,5.0,4.8,-47.0,-49.75
09-06-2011 15:15,5.0,4.8,-46.75,-49.0
09-06-2011 16:15,5.0,4.8,-47.0,-49.0
09-06-2011 17:15,5.0,4.8,-46.75,-49.0
09-06-2011 18:15,5.0,4.8,-47.0,-48.75
09-06-2011 19:15,5.0,4.8,-47.25,-48.5
09-06-2011 20:30,5.0,4.8,-48.0,-49.0
09-06-2011 21:30,5.0,4.8,-48.0,-48.75
09-06-2011 22:30,5.0,4.8,-48.0,-48.5
09-06-2011 23:30,5.0,4.8,-48.25,-49.0
10-06-2011 00:30,5.0,4.8,-47.75,-49.0
10-06-2011 01:30,5.0,4.8,-47.25,-48.75
10-06-2011 02:30,5.0,4.8,-47.5,-48.75
10-06-2011 03:30,5.0,4.8,-48.0,-48.75
10-06-2011 04:30,5.0,4.8,-48.0,-49.25
10-06-2011 05:30,5.0,4.8,-48.0,-49.5
10-06-2011 06:30,5.0,4.8,-47.75,-50.0
10-06-2011 07:30,5.0,4.8,-47.5,-49.75
10-06-2011 08:30,5.0,4.8,-47.25,-50.0
10-06-2011 09:30,5.0,4.8,-47.0,-50.0
10-06-2011 10:30,5.0,4.8,-47.25,-50.0
10-06-2011 11:30,5.0,4.8,-47.75,-55.0
10-06-2011 12:30,5.0,4.8,-47.75,-51.5
10-06-2011 13:30,5.0,4.8,-47.5,-50.25
10-06-2011 14:30,5.0,4.8,-47.0,-50.0
10-06-2011 15:30,5.0,4.8,-47.75,-50.5
10-06-2011 16:30,5.0,4.8,-48.25,-54.5
10-06-2011 17:30,5.0,4.8,-50.75,-54.25
10-06-2011 18:30,5.0,4.8,-49.0,-51.5
10-06-2011 19:30,5.0,4.8,-48.75,-55.0
10-06-2011 20:45,5.0,4.8,-47.5,-52.25
10-06-2011 21:45,5.0,4.8,-47.0,-49.25
10-06-2011 22:45,5.0,4.8,-47.5,-49.25
10-06-2011 23:45,5.0,4.8,-48.5,-49.75
11-06-2011 00:45,5.0,4.8,-47.75,-50.0
11-06-2011 01:45,5.0,4.8,-48.0,-49.25
11-06-2011 02:45,5.0,4.8,-47.75,-49.0
11-06-2011 03:45,5.0,4.8,-48.0,-49.75
11-06-2011 04:45,5.0,4.8,-48.0,-50.0
11-06-2011 05:45,5.0,4.8,-48.0,-50.25
11-06-2011 06:45,5.0,4.8,-47.75,-50.0
11-06-2011 07:45,5.0,4.8,-47.5,-50.0
05-08-2011 08:45,5.0,4.8,-47.0,-50.5
05-08-2011 09:45,5.0,4.8,-47.0,-50.25
05-08-2011 10:45,5.0,4.8,-46.75,-50.25
05-08-2011 11:45,5.0,4.8,-47.0,-50.0
05-08-2011 12:45,5.0,4.8,-47.0,-50.25
05-08-2011 13:45,5.0,4.8,-47.0,-50.0
05-08-2011 14:45,5.0,4.8,-47.0,-50.0
05-08-2011 15:45,5.0,4.8,-47.0,-49.25
05-08-2011 16:45,5.0,4.8,-47.25,-48.75
05-08-2011 17:45,5.0,4.8,-48.0,-49.0
05-08-2011 18:45,5.0,4.8,-48.0,-48.5
05-08-2011 19:45,5.0,4.8,-47.5,-48.75
05-08-2011 21:00,5.0,4.8,-48.0,-49.0
05-08-2011 22:00,5.0,4.8,-49.0,-49.75
05-08-2011 23:00,5.0,4.8,-48.75,-50.0
06-08-2011 00:00,5.0,4.8,-49.0,-50.0
06-08-2011 01:00,5.0,4.8,-49.0,-50.0
06-08-2011 02:00,5.0,4.8,-48.25,-50.0
06-08-2011 03:00,5.0,4.8,-48.5,-51.0
06-08-2011 04:00,5.0,4.8,-48.5,-51.0
